gene_name	gene_id	cgnc	mirbase
gene-MYO3A	420494	5772	NA
gene-GPR158	100859400	63739	NA
gene-THNSL1	100859434	63708	NA
gene-ENKUR	420498	5800	NA
gene-PRTFDC1	420499	5813	NA
gene-ARHGAP21	420500	5838	NA
gene-KIAA1217	420501	5871	NA
gene-LOC112531960	112531960	NA	NA
gene-LOC112531959	112531959	NA	NA
gene-OTUD1	420502	66376	NA
gene-C10orf67	100859524	63618	NA
gene-PTF1A	107052623	75626	NA
gene-ARMC3	420503	51271	NA
gene-PIP4K2A	420504	5959	NA
gene-LOC107052584	107052584	75587	NA
gene-LOC112531962	112531962	NA	NA
gene-SPAG6	420505	5970	NA
gene-LOC112531978	112531978	NA	NA
gene-BMI1	493647	54322	NA
gene-TRNAN-GUU-4	112532014	NA	NA
gene-DNAJC1	420508	5986	NA
gene-MLLT10	420509	5995	NA
gene-SKIDA1	420510	51272	NA
gene-NEBL	395148	49189	NA
gene-LOC112531964	112531964	NA	NA
gene-LOC107052622	107052622	75625	NA
gene-PLXDC2	420511	6018	NA
gene-MALRD1	420512	13943	NA
gene-LOC107052582	107052582	75585	NA
gene-ARL5B	420513	6493	NA
gene-NSUN6	428419	6499	NA
gene-CACNB2	428420	6517	NA
gene-SLC39A12	420514	6528	NA
gene-MMR1L2	428421	53361	NA
gene-MMR1L1	771876	57107	NA
gene-MMR1L3	420515	51273	NA
gene-MMR1L4	771888	57118	NA
gene-TRNAM-CAU-2	112532025	NA	NA
gene-MRC1	420516	51274	NA
gene-STAM	420517	6568	NA
gene-LOC107052581	107052581	75584	NA
gene-HACD1	420518	6572	NA
gene-LOC112531965	112531965	NA	NA
gene-ST8SIA6	414335	6583	NA
gene-VIM	420519	51275	NA
gene-MIR1661	100315882	60742	MI0007395
gene-TRDMT1	420520	6594	NA
gene-CUBN	420523	6608	NA
gene-RSU1	420524	6619	NA
gene-C1QL3	771966	66675	NA
gene-PTER	420525	6624	NA
gene-FAM188A	420526	51276	NA
gene-ITGA8	396225	6640	NA
gene-LOC101752025	101752025	71438	NA
gene-FAM171A1	420528	6654	NA
gene-NMT2	420529	6672	NA
gene-RPP38	420530	6674	NA
gene-ACBD7	420531	13940	NA
gene-OLAH	420532	6695	NA
gene-CROT	420533	6689	NA
gene-ABCB1LA	420534	51277	NA
gene-LOC107052579	107052579	75582	NA
gene-ABCB1	395712	49438	NA
gene-RUNDC3B	420535	6802	NA
gene-SLC25A40	772037	13939	NA
gene-DBF4	420536	6809	NA
gene-ADAM22	420537	6819	NA
gene-LOC107052578	107052578	75581	NA
gene-SRI	420538	51278	NA
gene-STEAP4	772063	6835	NA
gene-LOC112531969	112531969	NA	NA
gene-ZNF804B	420539	6842	NA
gene-LOC112531968	112531968	NA	NA
gene-LOC112531967	112531967	NA	NA
gene-LOC107052621	107052621	75624	NA
gene-TRNAN-GUU-5	112532018	NA	NA
gene-LOC107052577	107052577	75580	NA
gene-STEAP1	420540	51279	NA
gene-STEAP2	420541	6853	NA
gene-CFAP69	420542	51280	NA
gene-LOC107052576	107052576	75579	NA
gene-GTPBP10	420544	6870	NA
gene-CLDN12	771872	6873	NA
gene-MIR466	777911	59192	MI0003713
gene-PTTG1IP	420545	4229	NA
gene-LOC107052575	107052575	75578	NA
gene-CDK14	420546	6894	NA
gene-FZD1	374062	6896	NA
gene-LOC107052574	107052574	75577	NA
gene-AKAP9	395695	49433	NA
gene-CYP51A1	420548	7119	NA
gene-KRIT1	420549	7135	NA
gene-ANKIB1	420550	7142	NA
gene-LOC107052573	107052573	75576	NA
gene-GATAD1	420551	7147	NA
gene-LOC420552	420552	66377	NA
gene-ACCSL	420553	51283	NA
gene-PEX1	420554	7155	NA
gene-RBM48	420555	51284	NA
gene-EFCAB1	420556	7202	NA
gene-FAM133B	420557	51285	NA
gene-CDK6	420558	51286	NA
gene-MIR1650	100315969	60828	MI0007382
gene-LOC107052572	107052572	75575	NA
gene-LOC112531971	112531971	NA	NA
gene-SAMD9L	420559	51287	NA
gene-HEPACAM2	772177	57341	NA
gene-VPS50	420560	7228	NA
gene-CALCR	428425	7236	NA
gene-MIR489	777906	59187	MI0003708
gene-TFPI2	420561	7239	NA
gene-LOC112531972	112531972	NA	NA
gene-GNG11	771999	66676	NA
gene-ACAD6L	420562	51288	NA
gene-BET1	420563	17416	NA
gene-LOC112531961	112531961	NA	NA
gene-COL1A2	396243	49716	NA
gene-CASD1	420565	51289	NA
gene-SGCE	420567	7354	NA
gene-PPP1R9A	420568	7367	NA
gene-PON2	395830	49501	NA
gene-LOC101751337	101751337	70762	NA
gene-PDK4	420570	7379	NA
gene-ASB4	420569	7371	NA
gene-MIR6601	102466691	71936	MI0022420
gene-DYNC1I1	420571	7391	NA
gene-LOC107052570	107052570	75573	NA
gene-SLC25A13	428427	7395	NA
gene-SEM1	772237	7399	NA
gene-DLX6OS1	101752007	71421	NA
gene-DLX6	772070	16126	NA
gene-DLX5	373969	48983	NA
gene-SDHAF3	420572	66378	NA
gene-TAC1	420573	7401	NA
gene-ASNS	420574	7411	NA
gene-C1GALT1	420575	7413	NA
gene-COL28A1	420576	7806	NA
gene-MIOS	420577	51290	NA
gene-MIR1685	100315884	60744	MI0007419
gene-RPA3	420578	8130	NA
gene-UMAD1	107052569	75572	NA
gene-LOC101752305	101752305	71712	NA
gene-GLCCI1	420580	8133	NA
gene-ICA1	420581	8137	NA
gene-NXPH1	420582	8139	NA
gene-LOC112531977	112531977	NA	NA
gene-LOC112531976	112531976	NA	NA
gene-LOC107052620	107052620	75623	NA
gene-LOC107052568	107052568	75571	NA
gene-LOC112531979	112531979	NA	NA
gene-NDUFA4	772135	66679	NA
gene-PHF14	420583	8142	NA
gene-THSD7A	420585	8146	NA
gene-LOC112531690	112531690	NA	NA
gene-LOC101747332	101747332	66836	NA
gene-TMEM106B	420586	66379	NA
gene-LOC395159	395159	49194	NA
gene-VWDE	420587	51292	NA
gene-LOC101748147	101748147	67638	NA
gene-SCIN	420588	8188	NA
gene-ARL4A	420589	51293	NA
gene-LOC107052566	107052566	75569	NA
gene-LOC112531691	112531691	NA	NA
gene-LOC107052565	107052565	75568	NA
gene-LOC107052564	107052564	75567	NA
gene-LOC101748265	101748265	67753	NA
gene-ETV1	395748	8196	NA
gene-LOC107052563	107052563	75566	NA
gene-DGKB	772367	8200	NA
gene-AGMO	772374	57496	NA
gene-MEOX2	374137	8206	NA
gene-ISPD	420591	51294	NA
gene-LOC107052561	107052561	75564	NA
gene-SOSTDC1	378800	8208	NA
gene-LRRC72	420592	51295	NA
gene-ANKMY2	420593	8212	NA
gene-BZW2	420594	8215	NA
gene-TSPAN13	420595	66380	NA
gene-AGR2	420596	8224	NA
gene-AGR3	420597	13935	NA
gene-LOC112531697	112531697	NA	NA
gene-AHR	373907	8232	NA
gene-SNX13	420598	8236	NA
gene-LOC107052559	107052559	75562	NA
gene-HDAC9	420599	51296	NA
gene-LOC112531698	112531698	NA	NA
gene-TWIST1	395491	49342	NA
gene-FERD3L	428429	8252	NA
gene-TWISTNB	420603	8253	NA
gene-LOC112531699	112531699	NA	NA
gene-TMEM196	772254	57400	NA
gene-MACC1	420604	51298	NA
gene-LOC107052557	107052557	75560	NA
gene-ITGB8	395470	49335	NA
gene-LOC112531700	112531700	NA	NA
gene-ABCB5	420606	51299	NA
gene-SP8	776034	57577	NA
gene-LOC776051	776051	57590	NA
gene-SP4	420607	8286	NA
gene-LOC112531701	112531701	NA	NA
gene-DNAH11	112531708	NA	NA
gene-LOC101750420	101750420	69870	NA
gene-CDCA7L	420608	8289	NA
gene-LOC107052556	107052556	75559	NA
gene-RAPGEF5	100857462	66107	NA
gene-LOC112531702	112531702	NA	NA
gene-LOC107052553	107052553	75556	NA
gene-IL6	395337	8294	NA
gene-TOMM7	420610	66381	NA
gene-LOC107052552	107052552	75555	NA
gene-LOC112531995	112531995	NA	NA
gene-LOC112531703	112531703	NA	NA
gene-FAM126A	420611	51301	NA
gene-LOC107052550	107052550	75553	NA
gene-KLHL7	420612	8313	NA
gene-NUPL2	420614	51302	NA
gene-LOC107052549	107052549	75552	NA
gene-LOC107050296	107050296	73311	NA
gene-LOC107050609	107050609	73623	NA
gene-LOC112531704	112531704	NA	NA
gene-LOC101749671	101749671	69132	NA
gene-LOC107055896	107055896	78850	NA
gene-LOC107055882	107055882	78836	NA
gene-LOC107055976	107055976	78930	NA
gene-LOC107055885	107055885	78839	NA
gene-LOC112531710	112531710	NA	NA
gene-LOC112531711	112531711	NA	NA
gene-LOC107055944	107055944	78898	NA
gene-LOC107052551	107052551	75554	NA
gene-LOC100857560	100857560	65467	NA
gene-LOC420615	420615	51303	NA
gene-LOC112531705	112531705	NA	NA
gene-LOC107055883	107055883	78837	NA
gene-LOC112531712	112531712	NA	NA
gene-GPNMB	428431	8320	NA
gene-MALSU1	420616	8324	NA
gene-IGF2BP3	420617	51304	NA
gene-LOC112531706	112531706	NA	NA
gene-TRA2A	420618	51305	NA
gene-CCDC126	420619	8340	NA
gene-FAM221A	420620	8341	NA
gene-STK31	420621	8344	NA
gene-NPY	396464	8346	NA
gene-MPP6	420622	8351	NA
gene-DFNA5	420623	8357	NA
gene-OSBPL3	428432	8366	NA
gene-LOC107052547	107052547	75550	NA
gene-CYCS	420624	8375	NA
gene-C2H7orf31	420625	8376	NA
gene-NPVF	378785	8377	NA
gene-LOC112531707	112531707	NA	NA
gene-LOC112531924	112531924	NA	NA
gene-MIR148A	777943	59223	MI0001189
gene-LOC101752322	101752322	71729	NA
gene-HNRNPA2B1	420627	51306	NA
gene-CBX3	395355	8386	NA
gene-SNX10	420628	8390	NA
gene-LOC101747260	101747260	66766	NA
gene-SKAP2	420629	8392	NA
gene-HOXA1	374051	49021	NA
gene-LOC107052546	107052546	75549	NA
gene-HOXA2	396055	49629	NA
gene-HOXA3	395231	49224	NA
gene-HOXA4	395307	49256	NA
gene-HOXA5	100858404	66000	NA
gene-HOXA6	420630	51307	NA
gene-HOXA7	395290	8400	NA
gene-HOXA9	396096	13931	NA
gene-MIR1732	100315809	60669	MI0007471
gene-MIR196B	777944	59224	MI0001190
gene-HOXA10-AS	105463054	72000	NA
gene-HOXA10	776143	16063	NA
gene-HOXA11	395327	49268	NA
gene-LOC107052544	107052544	75547	NA
gene-HOXA13	373934	16060	NA
gene-IF2L	101749067	68542	NA
gene-EVX1	428434	8411	NA
gene-HIBADH	420632	8429	NA
gene-TAX1BP1	395490	8446	NA
gene-JAZF1	420633	8448	NA
gene-LOC112531709	112531709	NA	NA
gene-CREB5	428435	8458	NA
gene-TRIL	428436	53363	NA
gene-CHN2	428437	8478	NA
gene-PRR15	101750534	69983	NA
gene-WIPF3	420634	8483	NA
gene-SCRN1	420635	8489	NA
gene-FKBP14	420636	8493	NA
gene-PLEKHA8	420637	51308	NA
gene-COLQ	776178	8507	NA
gene-HACL1	420638	8515	NA
gene-BTD	420639	8520	NA
gene-ANKRD28	420640	8527	NA
gene-LOC101751380	101751380	70803	NA
gene-GALNT15	420642	8535	NA
gene-DPH3	420643	8537	NA
gene-OXNAD1	420644	8539	NA
gene-RFTN1	395109	8540	NA
gene-DAZL	374054	49023	NA
gene-PLCL2	420645	8546	NA
gene-TBC1D5	420646	8548	NA
gene-LOC107052543	107052543	75546	NA
gene-LOC101752157	101752157	71566	NA
gene-LOC112531713	112531713	NA	NA
gene-SATB1	420647	8550	NA
gene-LOC112531796	112531796	NA	NA
gene-LOC107052542	107052542	75545	NA
gene-KCNH8	420648	51309	NA
gene-EFHB	428439	8561	NA
gene-RAB5A	420649	51310	NA
gene-PP2D1	428440	13929	NA
gene-LOC107052540	107052540	75543	NA
gene-KAT2B	428441	8571	NA
gene-SGO1	420650	8573	NA
gene-ENS-1	769415	55233	NA
gene-ZNF385D	420651	8574	NA
gene-LOC107052619	107052619	75622	NA
gene-LOC101747889	101747889	67382	NA
gene-UBE2E2	776043	57582	NA
gene-LOC112531998	112531998	NA	NA
gene-LOC107052618	107052618	75621	NA
gene-UBE2E1	420653	8577	NA
gene-NKIRAS1	420654	8580	NA
gene-RPL15	428442	53365	NA
gene-NR1D2	396125	49661	NA
gene-THRB	396431	49800	NA
gene-LOC107052539	107052539	75542	NA
gene-RARB	396266	8589	NA
gene-LOC112531715	112531715	NA	NA
gene-TOP2B	395966	8591	NA
gene-NGLY1	420655	8593	NA
gene-OXSM	420656	8598	NA
gene-LOC112531716	112531716	NA	NA
gene-LOC101748968	101748968	68446	NA
gene-LOC112531717	112531717	NA	NA
gene-LRRC3B	420657	8599	NA
gene-NEK10	776071	66172	NA
gene-SLC4A7	420658	8668	NA
gene-EOMES	428443	66561	NA
gene-LOC101749416	101749416	68887	NA
gene-CMC1	420659	51311	NA
gene-AZI2	420660	8685	NA
gene-RBMS3	420661	8693	NA
gene-LOC107052536	107052536	75539	NA
gene-LOC107052535	107052535	75538	NA
gene-TGFBR2	396399	8694	NA
gene-GADL1	100857134	66060	NA
gene-STT3B	428444	53366	NA
gene-OSBPL10	420663	8718	NA
gene-MIR1622	100315747	60607	MI0007351
gene-GPD1L	420664	8724	NA
gene-CMTM8	420665	8726	NA
gene-CMTM7	420666	8729	NA
gene-CMTM6	420667	8731	NA
gene-DYNC1LI1	420668	8732	NA
gene-CNOT10	420669	8735	NA
gene-TRIM71	428445	13926	NA
gene-TCAIM	420670	8737	NA
gene-LOC107049140	107049140	72161	NA
gene-LOC101750587	101750587	70034	NA
gene-TOPAZ1	100857244	65761	NA
gene-BCORL	101751870	71285	NA
gene-LOC101750511	101750511	69961	NA
gene-LOC112531718	112531718	NA	NA
gene-MIR138-1	777945	59225	MI0001191
gene-LOC107052533	107052533	75536	NA
gene-ABHD5	420673	8745	NA
gene-ANO10	420674	8747	NA
gene-SNRK	420675	8751	NA
gene-LOC107052532	107052532	75535	NA
gene-LOC107052531	107052531	75534	NA
gene-POMGNT2	428446	8752	NA
gene-FAM198A	100857278	66104	NA
gene-RPL14	374134	49056	NA
gene-ENTPD3	428447	8759	NA
gene-LOC112531720	112531720	NA	NA
gene-GGCT	420676	8762	NA
gene-NOD1	420677	8767	NA
gene-ZNRF2	420678	51314	NA
gene-MIR1723	100315804	60664	MI0007460
gene-EAF1	776372	8770	NA
gene-METTL6	420681	8772	NA
gene-SH3BP5	420682	8777	NA
gene-CAPN7	420683	8782	NA
gene-COL6A6	428448	53367	NA
gene-PIK3R4	428449	8798	NA
gene-ATP2C1	428450	8802	NA
gene-ASTE1	420684	8813	NA
gene-NEK11	100857506	66108	NA
gene-LOC776146	776146	57676	NA
gene-LOC107052529	107052529	75532	NA
gene-LOC100859709	100859709	63440	NA
gene-MRPL3	420686	8818	NA
gene-CPNE4	420687	8825	NA
gene-LOC107052528	107052528	75531	NA
gene-LOC112531721	112531721	NA	NA
gene-ACPP	776390	8856	NA
gene-DNAJC13	420688	8873	NA
gene-ACAD11	420689	51317	NA
gene-ACKR4	100859797	66162	NA
gene-UBA5	414879	8897	NA
gene-NPHP3	420690	51318	NA
gene-TMEM108	420692	8899	NA
gene-BFSP2	396141	8901	NA
gene-CDV3	420693	8902	NA
gene-TOPBP1	420694	8911	NA
gene-CCR5	420695	51319	NA
gene-CCR2	420696	51320	NA
gene-CCR8L	776400	57917	NA
gene-LOC112531723	112531723	NA	NA
gene-XCR1	428452	8918	NA
gene-LOC107052617	107052617	75620	NA
gene-FYCO1	428453	8919	NA
gene-LZTFL1	420698	8955	NA
gene-CCR9	428454	8953	NA
gene-SLC6A20	420699	8971	NA
gene-SNRPD1	776411	8976	NA
gene-SACM1L	420700	8979	NA
gene-TRNAR-ACG	112532036	NA	NA
gene-LIMD1	420701	8981	NA
gene-LOC107052526	107052526	75529	NA
gene-LARS2	420702	9002	NA
gene-LOC112531724	112531724	NA	NA
gene-TMEM158	776186	57713	NA
gene-CDCP1	420703	9006	NA
gene-CLEC3B	395386	9007	NA
gene-EXOSC7	420704	9010	NA
gene-ZDHHC3	420705	9011	NA
gene-TGM4	420706	51321	NA
gene-TMEM42	420707	51322	NA
gene-KIF15	420708	9023	NA
gene-KIAA1143	420709	9025	NA
gene-LOC107052525	107052525	75528	NA
gene-CTNNB1	395964	49578	NA
gene-ULK4	420713	9045	NA
gene-TRNAR-ACG-2	112532047	NA	NA
gene-TRAK1	420714	9049	NA
gene-CCK	414884	9050	NA
gene-EIF1B	420715	9051	NA
gene-LOC420716	420716	51323	NA
gene-MIR7457	102465730	71874	MI0024127
gene-MYRIP	428455	16000	NA
gene-LOC112531797	112531797	NA	NA
gene-TMC2	428456	53369	NA
gene-RPSA	395181	49202	NA
gene-LOC112531987	112531987	NA	NA
gene-LOC112531986	112531986	NA	NA
gene-SLC25A38	420717	9061	NA
gene-CCR8	420718	51324	NA
gene-LOC101750697	101750697	70142	NA
gene-CX3CR1	420719	9064	NA
gene-CCR4	428457	9067	NA
gene-GLB1	420720	9074	NA
gene-LOC112531980	112531980	NA	NA
gene-CRTAP	395992	9076	NA
gene-SUSD5	420721	51325	NA
gene-FBXL2	420722	9079	NA
gene-UBP1	428458	9081	NA
gene-LOC107052523	107052523	75526	NA
gene-CLASP2	420724	9090	NA
gene-LOC101751546	101751546	70967	NA
gene-LOC107052522	107052522	75525	NA
gene-PDCD6IP	420725	9128	NA
gene-LOC101751579	101751579	70999	NA
gene-LOC112531725	112531725	NA	NA
gene-LOC107052521	107052521	75524	NA
gene-ARPP21	428459	53370	NA
gene-LOC107052520	107052520	75523	NA
gene-MIR1607	100315738	60598	MI0007334
gene-MIR128-2	777796	59081	MI0001192
gene-STAC	428460	9135	NA
gene-DCLK3	776499	9138	NA
gene-TRANK1	420728	51328	NA
gene-MLH1	420729	9143	NA
gene-STARD3NL	420730	9147	NA
gene-EPDR1	420731	9150	NA
gene-SFRP4	420732	9153	NA
gene-NME8	428461	9158	NA
gene-LOC101748739	101748739	68221	NA
gene-LOC107052519	107052519	75522	NA
gene-LOC101748775	101748775	68257	NA
gene-LOC420734	420734	51329	NA
gene-GPR141	420733	9162	NA
gene-ELMO1	420735	51330	NA
gene-LOC112531726	112531726	NA	NA
gene-AOAH	420737	9171	NA
gene-ANLN	420738	9177	NA
gene-KIAA0895	420739	51331	NA
gene-EEPD1	420740	51332	NA
gene-SEPT7	420741	51333	NA
gene-LOC112531727	112531727	NA	NA
gene-LOC101749468	101749468	68937	NA
gene-HERPUD2	420742	9218	NA
gene-LOC101749729	101749729	69189	NA
gene-LOC107052516	107052516	75519	NA
gene-TBX20	373943	9220	NA
gene-DPY19L1	420743	51334	NA
gene-NPSR1	428462	9231	NA
gene-TRNAM-CAU-3	112532019	NA	NA
gene-FANCD2OS	776543	15966	NA
gene-BMPER	420744	9248	NA
gene-BBS9	420745	9252	NA
gene-NT5C3A	395080	9255	NA
gene-LOC101750048	101750048	69504	NA
gene-FKBP9	395652	49423	NA
gene-RP9	420747	51335	NA
gene-LOC420748	420748	51336	NA
gene-KBTBD2	420749	9264	NA
gene-AVL9	420750	9267	NA
gene-LSM5	420751	9271	NA
gene-PDE1C	420752	9284	NA
gene-PPP1R17	420753	9286	NA
gene-LOC112531728	112531728	NA	NA
gene-CCDC129	101751288	70713	NA
gene-LOC107052615	107052615	75618	NA
gene-NEUROD6	420754	9293	NA
gene-ITGA9	420757	9296	NA
gene-GOLGA4	420758	9309	NA
gene-LOC107052502	107052502	75505	NA
gene-LRRFIP2	420759	9316	NA
gene-TARP	776306	57828	NA
gene-LOC107055855	107055855	78810	NA
gene-LOC112529968	112529968	NA	NA
gene-LOC112529970	112529970	NA	NA
gene-LOC107049145	107049145	72166	NA
gene-LOC112531731	112531731	NA	NA
gene-LOC112529969	112529969	NA	NA
gene-LOC112531734	112531734	NA	NA
gene-LOC112531735	112531735	NA	NA
gene-LOC112531730	112531730	NA	NA
gene-LOC112531798	112531798	NA	NA
gene-LOC112531799	112531799	NA	NA
gene-LOC112531733	112531733	NA	NA
gene-LOC112531732	112531732	NA	NA
gene-LOC112531729	112531729	NA	NA
gene-LOC101747527	101747527	67026	NA
gene-LOC107055936	107055936	78890	NA
gene-LOC112529967	112529967	NA	NA
gene-LOC776577	776577	58085	NA
gene-LOC107052514	107052514	75517	NA
gene-LOC776593	776593	58100	NA
gene-AMPH	420761	9331	NA
gene-VPS41	420762	9346	NA
gene-POU6F2	420763	9347	NA
gene-YAE1D1	420764	9349	NA
gene-RALA	420765	9353	NA
gene-LOC101748400	101748400	67886	NA
gene-CDK13	420766	51337	NA
gene-MPLKIP	776599	15955	NA
gene-SUGCT	420768	9364	NA
gene-LOC107052512	107052512	75515	NA
gene-LOC112531736	112531736	NA	NA
gene-LOC101749399	101749399	68870	NA
gene-INHBA	396361	9365	NA
gene-LOC101749489	101749489	68958	NA
gene-GLI3	420769	9366	NA
gene-LOC101749620	101749620	69085	NA
gene-LOC101749674	101749674	69135	NA
gene-LOC420770	420770	51338	NA
gene-C2H7orf25	420771	9368	NA
gene-PSMA2	420772	13915	NA
gene-MRPL32	420773	9370	NA
gene-HECW1	420774	9376	NA
gene-LOC107052509	107052509	75512	NA
gene-LOC107052511	107052511	75514	NA
gene-STK17A	420775	9380	NA
gene-LOC107052508	107052508	75511	NA
gene-BLVRA	420776	9381	NA
gene-LOC107052507	107052507	75510	NA
gene-LOC107052506	107052506	75509	NA
gene-LOC112531738	112531738	NA	NA
gene-LOC112531739	112531739	NA	NA
gene-VOPP1	776358	57878	NA
gene-LANCL2	420779	9388	NA
gene-EGFR	396494	9391	NA
gene-LOC107052614	107052614	75617	NA
gene-SEC61G	776639	9909	NA
gene-LOC112531740	112531740	NA	NA
gene-LOC107050116	107050116	73131	NA
gene-TPK1	420780	9395	NA
gene-LOC107051642	107051642	74650	NA
gene-LOC112531741	112531741	NA	NA
gene-LOC112531742	112531742	NA	NA
gene-CNTNAP2	768456	54475	NA
gene-LOC107051644	107051644	74652	NA
gene-LOC107055852	107055852	78807	NA
gene-LOC112531743	112531743	NA	NA
gene-CUL1	420783	9419	NA
gene-EZH2	420784	9422	NA
gene-PDIA4	420785	9429	NA
gene-LOC112531744	112531744	NA	NA
gene-RAMP3	420786	9431	NA
gene-LOC112531745	112531745	NA	NA
gene-LOC112531746	112531746	NA	NA
gene-ADCY1	420788	9443	NA
gene-IGFBP1	408027	49889	NA
gene-IGFBP3	420790	9448	NA
gene-LOC112531748	112531748	NA	NA
gene-TNS3	420792	9453	NA
gene-HUS1	428471	53372	NA
gene-ICE1	420795	51342	NA
gene-NFX1	420796	66382	NA
gene-LOC101748714	101748714	68196	NA
gene-SLC12A7	420797	9492	NA
gene-LOC112531749	112531749	NA	NA
gene-TRIP13	420798	9495	NA
gene-BRD9	420799	9499	NA
gene-TPPP	420800	9500	NA
gene-LOC112532000	112532000	NA	NA
gene-LOC112531750	112531750	NA	NA
gene-LOC100857341	100857341	65671	NA
gene-LOC112531751	112531751	NA	NA
gene-SLC9A3	420801	9501	NA
gene-LOC101749475	101749475	68944	NA
gene-LRRC14B	428472	53373	NA
gene-LOC107051646	107051646	74654	NA
gene-COL15A1	420803	9574	NA
gene-LOC112531752	112531752	NA	NA
gene-TGFBR1	374094	9575	NA
gene-RECK	420804	9582	NA
gene-ADNP2	420805	9588	NA
gene-RBFA	420806	9590	NA
gene-LOC420807	420807	51343	NA
gene-LOC420808	420808	51344	NA
gene-2KTGRL	100858664	64432	NA
gene-MIR7458-2	104795944	71992	MI0031113
gene-LOC101750341	101750341	69793	NA
gene-TXNL4A	420811	13065	NA
gene-HSBP1L1	420812	51346	NA
gene-PQLC1	428474	9599	NA
gene-MIR7458-1	102466829	71971	MI0024128
gene-LOC101750842	101750842	70281	NA
gene-KCNG2	395902	49541	NA
gene-CTDP1	420813	9601	NA
gene-NFATC1	420815	9602	NA
gene-ATP9B	420817	9604	NA
gene-SALL3	395359	49282	NA
gene-LOC112531800	112531800	NA	NA
gene-LOC112531753	112531753	NA	NA
gene-MIR7459	102465731	71875	MI0024129
gene-KIAA0319	428476	9608	NA
gene-ALDH5A1	420818	9610	NA
gene-GPLD1	420819	9612	NA
gene-LOC101748970	101748970	68448	NA
gene-MRS2	420820	9613	NA
gene-DCDC2	420821	51347	NA
gene-NRSN1	420822	9615	NA
gene-LOC112531754	112531754	NA	NA
gene-LOC101749621	101749621	69086	NA
gene-LOC112531755	112531755	NA	NA
gene-LOC112531756	112531756	NA	NA
gene-LOC107051649	107051649	74657	NA
gene-PRL	396453	9616	NA
gene-SOX4	395143	49187	NA
gene-LOC107051650	107051650	74658	NA
gene-LOC107051651	107051651	74659	NA
gene-CDKAL1	420823	9618	NA
gene-E2F3	420824	9619	NA
gene-LOC107051682	107051682	74690	NA
gene-MBOAT1	420826	51348	NA
gene-ID4	374150	9621	NA
gene-LOC107051652	107051652	74660	NA
gene-LOC101750019	101750019	69475	NA
gene-LOC107051653	107051653	74661	NA
gene-LOC101750257	101750257	69711	NA
gene-RNF144B	420827	9622	NA
gene-DEK	420828	9623	NA
gene-KDM1B	420829	9624	NA
gene-TPMT	420830	9625	NA
gene-NHLRC1	428477	9626	NA
gene-KIF13A	420832	9627	NA
gene-SIRT5	420834	9629	NA
gene-NOL7	420835	9631	NA
gene-RANBP9	420836	9632	NA
gene-MCUR1	420837	9635	NA
gene-RNF182	771221	9636	NA
gene-CD83	420838	22035	NA
gene-LOC107051656	107051656	74664	NA
gene-LOC107051657	107051657	74665	NA
gene-LOC101751892	101751892	71307	NA
gene-LOC107051658	107051658	74666	NA
gene-LOC101751934	101751934	71348	NA
gene-LOC107051659	107051659	74667	NA
gene-LOC112531757	112531757	NA	NA
gene-TRNAY-GUA	112532020	NA	NA
gene-JARID2	420839	9637	NA
gene-MIR6557	102465423	71851	MI0022540
gene-LOC107051660	107051660	74668	NA
gene-LOC107051661	107051661	74669	NA
gene-DTNBP1	420840	9638	NA
gene-MYLIP	420841	9639	NA
gene-GMPR	420842	51349	NA
gene-ATXN1	420843	9642	NA
gene-MIR1747	100315817	60677	MI0007487
gene-LOC112531920	112531920	NA	NA
gene-LOC112531919	112531919	NA	NA
gene-LOC112531921	112531921	NA	NA
gene-LOC107051662	107051662	74670	NA
gene-LOC107051664	107051664	74672	NA
gene-STMND1	101747319	66823	NA
gene-RBM24	420846	9644	NA
gene-CAP2	420847	9646	NA
gene-NUP153	420848	9650	NA
gene-C2H6orf52	420849	51351	NA
gene-PAK1IP1	420850	9654	NA
gene-TMEM14C	420851	66383	NA
gene-GFOD1	770283	9657	NA
gene-LOC107051684	107051684	74692	NA
gene-TBC1D7	420853	9658	NA
gene-PHACTR1	395093	9659	NA
gene-MIR1759	100315991	60850	MI0007501
gene-LOC112531758	112531758	NA	NA
gene-LOC112531759	112531759	NA	NA
gene-EDN1	420854	9661	NA
gene-LOC112531760	112531760	NA	NA
gene-LOC112531761	112531761	NA	NA
gene-HIVEP1	420856	51354	NA
gene-LOC107051665	107051665	74673	NA
gene-ADTRP	771464	9664	NA
gene-LOC107051666	107051666	74674	NA
gene-TMEM170B	420857	51355	NA
gene-LOC107051667	107051667	74675	NA
gene-NEDD9	395736	49448	NA
gene-C1orf145	770433	56023	NA
gene-ELOVL2	420858	9667	NA
gene-LOC100858306	100858306	64773	NA
gene-SYCP2L	771534	9677	NA
gene-LOC107051674	107051674	74682	NA
gene-GCM2	428478	9680	NA
gene-MAK	420859	9682	NA
gene-TMEM14CL	420860	66384	NA
gene-GCNT2	428479	53375	NA
gene-TFAP2A	395982	9685	NA
gene-LOC101749691	101749691	69152	NA
gene-LOC107051668	107051668	74676	NA
gene-OFCC1	420862	15907	NA
gene-LOC107051670	107051670	74678	NA
gene-LOC107051671	107051671	74679	NA
gene-LOC112531762	112531762	NA	NA
gene-SLC35B3	420863	9686	NA
gene-EEF1E1	420865	9688	NA
gene-BLOC1S5	420866	51358	NA
